slice,imagej
0,17820.308
1,10192.374999999998
2,11960.524
3,14796.904
4,17574.61
5,21769.842
6,26539.663
7,27634.524999999998
8,26070.715999999997
9,22835.847
10,19553.538
11,17371.481
12,15688.808
13,14405.413
14,13445.984999999999
15,12627.052999999998
16,12080.932999999999
17,14765.789
18,15953.010000000002
19,16032.359999999999
20,17156.254
21,18663.466
22,19510.115
23,20298.346
24,21126.231
25,21389.572
26,22191.884
27,22668.057999999997
28,22430.423
29,22546.591
30,21720.61
31,21554.302999999996
32,21568.212
33,21737.168
34,20774.63
35,17568.827
36,15704.342
37,14264.643999999998
38,13091.057999999999
39,12069.741
40,11467.082
41,11054.808
42,10786.317000000001
43,10663.658
44,10716.784000000001
45,10801.485999999999
46,10952.139000000001
47,11291.678
48,11601.048
49,11920.024000000001
50,12425.202
51,13086.548
52,14025.293
53,17670.894
54,20542.471
55,23230.163999999997
56,25898.745
57,29516.149
58,33379.115000000005
59,37177.731
60,40210.299
61,42904.111000000004
62,44840.75
63,47137.096
64,47727.592
65,48678.5
66,48220.442
67,48412.221
68,47750.976
69,46932.672999999995
70,44380.91299999999
71,36157.710999999996
72,31934.538
73,29142.408999999996
74,25995.5
75,23640.668
76,21416.470999999998
77,19733.957
78,18454.774
79,17302.081000000002
80,16420.725
81,15805.264
82,15477.818
83,15087.669
84,15075.534
85,14990.287999999999
86,14789.75
87,14786.871
88,14952.49
89,18935.317
90,20604.033000000003
91,21309.667999999998
92,22138.779
93,23282.707
94,24816.947
95,26113.99
96,26943.648999999998
97,27385.577
98,27529.096
99,27564.51
100,27729.793
101,27600.481
102,27645.462000000003
103,27284.874999999996
104,27198.643999999997
105,27035.361
106,25505.971999999998
107,20892.817
108,19123.279
109,18018.226000000002
110,17059.918
111,16070.774000000001
112,15387.154
113,14940.894
114,14844.553000000002
115,14985.994999999999
116,15148.957000000002
117,15466.114999999998
118,16078.288
119,16543.182999999997
120,17084.774
121,17633.451999999997
122,18344.769
123,18901.985
124,20654.385000000002
125,26358.673000000003
126,29019.851
127,30539.081000000002
128,32164.836000000003
129,34259.26900000001
130,36035.846
131,37386.691999999995
132,38175.581000000006
133,38275.163
134,37682.538
135,36682.284
136,35491.26
137,34020.322
138,32499.068000000003
139,30708.264
140,28918.649
141,27201.986000000004
142,23616.542999999998
143,18748.553
144,16299.341999999999
145,14299.245
146,13067.465999999999
147,12108.241
148,11094.428
149,10220.649000000001
150,9633.869999999999
151,9010.253999999999
152,8756.971000000001
153,8689.462
154,8588.231
155,8557.995
156,8582.678
157,8595.912999999999
158,8566.832
159,8650.668000000001
160,9352.034
161,11722.288
